Top_Material,61 Setup,61 Machine,61 Labour,62 Setup,62 Machine,62 Labour,65 Setup,65 Machine,65 Labour,67 Setup,67 Machine,67 Labour,68 Setup,68 Machine,68 Labour,69 Setup,69 Machine,69 Labour,70 Setup,70 Machine,70 Labour,71 Setup,71 Machine,71 Labour,81 Setup,81 Machine,81 Labour,82 Setup,82 Machine,82 Labour,83 Setup,83 Machine,83 Labour,101 Setup,101 Machine,101 Labour,105 Setup,105 Machine,105 Labour,1107 Setup,1107 Machine,1107 Labour,127 Setup,127 Machine,127 Labour,131 Setup,131 Machine,131 Labour,200 Setup,200 Machine,200 Labour,201 Setup,201 Machine,201 Labour,202 Setup,202 Machine,202 Labour,206 Setup,206 Machine,206 Labour,209 Setup,209 Machine,209 Labour,210 Setup,210 Machine,210 Labour,211 Setup,211 Machine,211 Labour,213 Setup,213 Machine,213 Labour,217 Setup,217 Machine,217 Labour,220 Setup,220 Machine,220 Labour,231 Setup,231 Machine,231 Labour,234 Setup,234 Machine,234 Labour,251 Setup,251 Machine,251 Labour,252 Setup,252 Machine,252 Labour,302 Setup,302 Machine,302 Labour,303 Setup,303 Machine,303 Labour,304 Setup,304 Machine,304 Labour,305 Setup,305 Machine,305 Labour,310 Setup,310 Machine,310 Labour,316 Setup,316 Machine,316 Labour,317 Setup,317 Machine,317 Labour,319 Setup,319 Machine,319 Labour,320 Setup,320 Machine,320 Labour,321 Setup,321 Machine,321 Labour,322 Setup,322 Machine,322 Labour,323 Setup,323 Machine,323 Labour,324 Setup,324 Machine,324 Labour,326 Setup,326 Machine,326 Labour,336 Setup,336 Machine,336 Labour,337 Setup,337 Machine,337 Labour,386 Setup,386 Machine,386 Labour,387 Setup,387 Machine,387 Labour,388 Setup,388 Machine,388 Labour,389 Setup,389 Machine,389 Labour,470 Setup,470 Machine,470 Labour,500 Setup,500 Machine,500 Labour,635 Setup,635 Machine,635 Labour,638 Setup,638 Machine,638 Labour,640 Setup,640 Machine,640 Labour,646 Setup,646 Machine,646 Labour,648 Setup,648 Machine,648 Labour,681 Setup,681 Machine,681 Labour,850 Setup,850 Machine,850 Labour,920 Setup,920 Machine,920 Labour,921 Setup,921 Machine,921 Labour
233130-AGI,87.0,361.2,361.2,,,,,80.0,80.0,,,,,,,,,,,6.3,6.3,32.4,43.9,96.3,60.0,8.016,8.016,,,,,,,710.0,21.838809523809523,21.838809523809523,,0.894,1.788,,,,,,,,,,744.0,19.812,19.812,,,,60.0,8.16,8.16,,,,156.0,78.96600000000001,99.366,683.2,70.674,70.674,60.0,44.64,44.64,108.0,13.464,13.464,,,,,,,,,,270.0,158.4,161.4,928.0,184.58485,184.58485,,,,,20.36,20.36,,,,,161.81815600000002,323.63631200000003,435.0,347.786,367.336,,,,,228.0,228.0,20.0,3.0,3.0,,,,81.0,125.916,251.832,27.0,18.36,18.36,,,,13.8,16.422,16.422,,,,,,,,,,,,,,,,,,,,89.0,226.0,210.0,67.626,93.636,74.0,420.998,420.998,,,,45.0,30.576,30.576,,,,,,,,,,,,,,,,800.0,11.87238946007188,11.87238946007188,,,,,,
233131-AGI,87.0,361.2,361.2,,,,,80.0,80.0,,,,,,,,,,,6.3,6.3,32.4,43.9,96.3,60.0,8.016,8.016,,,,,,,710.0,21.838809523809523,21.838809523809523,,0.894,1.788,,,,,,,,,,744.0,19.812,19.812,,,,60.0,8.16,8.16,,,,156.0,78.96600000000001,99.366,683.2,70.674,70.674,60.0,36.48,36.48,108.0,13.464,13.464,,,,,,,,,,270.0,158.4,161.4,928.0,184.58485,184.58485,,,,,20.36,20.36,,,,,179.447156,358.894312,510.0,384.642,412.692,,,,,275.5,275.5,20.0,3.0,3.0,,,,81.0,125.916,251.832,27.0,18.36,18.36,,,,13.8,16.422,16.422,,,,,,,,,,,,,,,,,,,,89.0,226.0,210.0,75.34400000000001,101.354,74.0,420.998,420.998,,,,45.0,30.576,30.576,,,,,,,,,,,,,,,,800.0,11.87238946007188,11.87238946007188,,,,,,
233132-AGI,87.0,361.2,361.2,,,,,80.0,80.0,,,,,,,,,,,6.3,6.3,32.4,43.9,96.3,60.0,8.016,8.016,,,,,,,710.0,21.838809523809523,21.838809523809523,,0.894,1.788,,,,,,,,,,744.0,19.812,19.812,,,,60.0,8.16,8.16,,,,156.0,78.96600000000001,99.366,683.2,70.674,70.674,60.0,44.64,44.64,108.0,13.464,13.464,,,,,,,,,,270.0,158.4,161.4,928.0,184.58485,184.58485,,,,,37.64,37.64,,,,,196.985642,393.971284,585.0,407.626,427.176,,,,,302.0,302.0,20.0,3.0,3.0,,,,81.0,125.916,251.832,27.0,18.36,18.36,,,,13.8,16.422,16.422,,,,,,,,,,,,,,,,,,,,89.0,226.0,210.0,67.626,93.636,74.0,420.998,420.998,,,,45.0,30.576,30.576,,,,,,,,,,,,,,,,800.0,11.87238946007188,11.87238946007188,,,,,,
233133-AGI,87.0,361.2,361.2,,,,,80.0,80.0,,,,,,,,,,,6.3,6.3,32.4,43.9,96.3,60.0,8.016,8.016,,,,,,,710.0,21.838809523809523,21.838809523809523,,0.894,1.788,,,,,,,,,,744.0,19.812,19.812,,,,60.0,8.16,8.16,,,,156.0,78.96600000000001,99.366,683.2,70.674,70.674,60.0,44.64,44.64,108.0,13.464,13.464,,,,,,,,,,270.0,158.4,161.4,928.0,184.58485,184.58485,,,,,56.0,56.0,,,,,214.614642,429.229284,585.0,421.566,449.616,,,,,349.5,349.5,20.0,3.0,3.0,,,,81.0,125.916,251.832,27.0,18.36,18.36,,,,13.8,16.422,16.422,,,,,,,,,,,,,,,,,,,,89.0,226.0,210.0,75.34400000000001,101.354,74.0,420.998,420.998,,,,45.0,30.576,30.576,,,,,,,,,,,,,,,,800.0,11.87238946007188,11.87238946007188,,,,,,
233134-AGI,87.0,361.2,361.2,,,,,80.0,80.0,,,,,,,,,,,7.2,7.2,32.4,43.9,96.3,60.0,8.016,8.016,,,,,,,710.0,25.326309523809524,25.326309523809524,,0.894,1.788,,,,,,,,,,744.0,19.812,19.812,,,,60.0,8.16,16.32,,,,156.0,78.96600000000001,99.366,683.2,70.674,70.674,60.0,44.64,44.64,108.0,25.5,25.5,,,,,,,,,,270.0,201.0,204.0,958.0,209.06485,209.06485,,,,,74.36,74.36,,,,,232.243642,464.487284,660.0,470.866,490.416,,,,,377.0,377.0,20.0,3.0,3.0,,,,81.0,166.389,332.778,27.0,18.36,18.36,,,,13.8,16.422,16.422,,,,,,,,,,,,,,,,,,,,89.0,226.0,210.0,58.582,84.592,74.0,420.998,420.998,,,,45.0,30.576,30.576,,,,,,,,,,,,,,,,825.0,15.65236631192373,15.65236631192373,,,,,,
233135-AGI,87.0,361.2,361.2,,,,,80.0,80.0,,,,,,,,,,,7.2,7.2,32.4,43.9,96.3,60.0,8.016,8.016,,,,,,,710.0,25.326309523809524,25.326309523809524,,0.894,1.788,,,,,,,,,,744.0,19.812,19.812,,,,60.0,8.16,16.32,,,,156.0,78.96600000000001,99.366,683.2,70.674,70.674,60.0,44.64,44.64,108.0,25.5,25.5,,,,,,,,,,270.0,201.0,204.0,958.0,209.06485,209.06485,,,,,92.72,92.72,,,,,249.872642,499.745284,660.0,484.806,512.856,,,,,424.5,424.5,20.0,3.0,3.0,,,,81.0,166.389,332.778,27.0,18.36,18.36,,,,13.8,16.422,16.422,,,,,,,,,,,,,,,,,,,,89.0,226.0,210.0,66.3,92.31,74.0,420.998,420.998,,,,45.0,30.576,30.576,,,,,,,,,,,,,,,,825.0,15.65236631192373,15.65236631192373,,,,,,
233136-AGI,87.0,361.2,361.2,,,,,80.0,80.0,,,,,,,,,,,7.2,7.2,32.4,43.9,96.3,60.0,8.016,8.016,,,,,,,710.0,25.326309523809524,25.326309523809524,,0.894,1.788,,,,,,,,,,744.0,19.812,19.812,,,,60.0,8.16,16.32,,,,156.0,78.96600000000001,99.366,683.2,70.674,70.674,60.0,44.64,44.64,108.0,25.5,25.5,,,,,,,,,,270.0,201.0,204.0,958.0,209.06485,209.06485,,,,,111.08,111.08,,,,,269.52464200000003,539.0492840000001,660.0,534.106,553.656,,,,,452.0,452.0,20.0,3.0,3.0,,,,81.0,166.389,332.778,27.0,18.36,18.36,,,,13.8,16.422,16.422,,,,,,,,,,,,,,,,,,,,89.0,226.0,210.0,58.582,84.592,74.0,420.998,420.998,,,,45.0,30.576,30.576,,,,,,,,,,,,,,,,825.0,15.65236631192373,15.65236631192373,,,,,,
233137-AGI,87.0,376.2,376.2,,,,,90.0,90.0,,,,,,,,,,,8.1,8.1,32.4,43.9,96.3,60.0,8.016,8.016,,,,,,,710.0,27.96797619047619,27.96797619047619,,0.596,1.192,,,,,,,,,,744.0,19.812,19.812,,,,60.0,8.16,16.32,,,,156.0,78.96600000000001,99.366,703.6,89.034,89.034,60.0,36.48,36.48,108.0,25.5,25.5,,,,,,,,,,270.0,243.0,246.0,958.0,213.46485,213.46485,,6.052,34.0,,209.37,209.37,,,,,304.266,608.532,885.0,605.982,634.032,,,,,554.0,554.0,20.0,3.0,3.0,,,,81.0,206.862,413.724,27.0,18.36,18.36,,,,13.8,16.422,16.422,,,,,,,,,,,,,,,,,,,,89.0,226.0,210.0,66.3,92.31,74.0,420.998,420.998,,,,45.0,30.576,30.576,,,,,,,,,,,,,,,,850.0,16.418570015627434,16.418570015627434,,,,,,
233138-AGI,87.0,376.2,376.2,,,,,90.0,90.0,,,,,,,,,,,9.0,9.0,32.4,43.9,96.3,60.0,8.016,8.016,,,,,,,730.0,39.67214285714286,39.67214285714286,,0.596,1.192,,,,,,,,,,744.0,19.812,19.812,,,,60.0,8.16,16.32,,,,156.0,78.96600000000001,99.366,703.6,89.034,89.034,60.0,44.64,44.64,108.0,25.5,25.5,,,,,,,,,,378.0,299.064,302.064,988.0,233.86485,233.86485,,6.052,34.0,,287.4,287.4,,,,,334.815,669.63,900.0,674.526,702.576,,,,,635.0,635.0,20.0,3.0,3.0,,,,81.0,247.335,494.67,27.0,18.36,18.36,,,,13.8,16.422,16.422,,,,,,,,,,,,,,,,,,,,89.0,226.0,210.0,58.582,84.592,74.0,420.998,420.998,,,,45.0,30.576,30.576,,,,,,,,,,,,,,,,850.0,16.65688020081262,16.65688020081262,,,,,,
233140-AGI,12.0,1.2,1.2,,,,,84.0,84.0,,,,,,,,,,,4.6,4.6,32.4,8.7,26.1,60.0,8.016,8.016,,,,,,,685.0,10.6242673992674,10.6242673992674,,0.894,1.788,,,,,,,,,,1002.6,28.683,28.683,,,,120.0,9.552,9.552,,,,159.0,61.038,61.038,867.6,69.694,69.694,120.0,31.584,31.584,,,,216.0,3.6,7.2,,,,,,,560.0,86.012,88.012,1273.0,156.22285,156.22285,,,,,28.14,28.14,,,,30.0,51.02249,102.04498,195.0,95.112,113.112,,,,,85.5,85.5,,,,,,,114.0,50.205,100.41,27.0,19.44,19.44,,,,13.8,17.387999999999998,17.387999999999998,27.0,1.08,2.16,,,,,,,,,,,,,,,,,95.0,238.0,240.0,80.057,109.577,65.0,287.748,287.748,,,,27.0,27.582,27.582,60.0,3.12,6.24,,,,,,,,,,,,,850.0,13.125082448750527,13.125082448750527,,,,,,
